Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS	
1354376065	735.64	1351.16	1357	1600	16000	1.513	4.302	15	14	
1354376111	962.05	1538.29	1357	1600	16000	1.888	4.421	15	17	
1354376159	929.16	1414.97	1357	1600	16000	1.937	4.421	15	16	
1354376213	982.00	1234.23	1357	1600	16000	1.886	4.409	15	17	
1354376260	965.22	1448.76	1357	1600	16000	1.905	4.414	15	13	
1354376312	975.09	1180.64	1357	1600	16000	1.922	4.309	15	17	
1354376361	959.76	1312.18	1357	1600	16000	1.785	4.924	15	14	
1354376411	958.39	1260.21	1357	1600	16000	1.853	4.396	15	17	
1354376465	955.33	863.44	1357	1600	16000	1.873	3.191	15	17	
1354376515	982.98	1125.37	1357	1600	16000	1.891	3.779	15	17	
1354376563	763.31	1521.64	1357	1600	16000	1.700	4.498	15	15	
1354376612	965.34	576.82	1357	1600	16000	1.887	2.051	15	17	
1354376664	963.78	934.04	1357	1600	16000	1.886	3.764	15	17	
1354376714	912.76	1169.84	1357	1600	16000	1.808	4.312	15	15	
1354376764	897.07	1279.01	1357	1600	16000	1.774	4.453	15	17	
1354376814	994.17	1208.24	1357	1600	16000	1.876	4.396	15	16	
1354376863	879.48	1395.28	1357	1600	16000	1.830	3.987	15	14	
1354376917	935.30	1079.85	1357	1600	16000	1.710	4.347	15	17	
1354376967	877.48	664.50	1357	1600	16000	1.786	2.318	15	14	
1354377014	947.75	1612.90	1357	1600	16000	1.809	5.162	15	15	
1354377065	867.60	1240.72	1357	1600	16000	1.717	4.396	15	15	
1354377119	899.41	1423.43	1357	1600	16000	1.826	4.860	15	13	
1354377164	755.08	966.26	1357	1600	16000	1.464	3.008	15	14	
1354377240	855.06	227.40	1357	1600	16000	1.649	2.368	15	14	
1354377291	577.66	382.30	1357	1600	16000	1.057	1.971	15	15	
1354377346	818.92	876.37	1357	1600	16000	1.550	3.233	15	17	
1354377423	870.63	325.37	1357	1600	16000	1.689	2.383	15	17	
1354377496	916.03	361.96	1357	1600	16000	1.738	2.926	15	15	
1354377549	951.52	970.48	1357	1600	16000	1.892	3.464	15	14	
1354377597	972.34	1000.24	1357	1600	16000	1.876	2.968	15	17	
1354377654	877.58	420.85	1357	1600	16000	1.702	1.716	15	16	
1354377701	939.26	1185.63	1357	1600	16000	1.843	3.761	15	15	
1354377753	954.73	1053.92	1357	1600	16000	1.865	4.027	15	14	
1354377804	893.91	1257.07	1357	1600	16000	1.763	4.024	15	17	
1354377857	1008.59	708.24	1357	1600	16000	1.983	2.911	15	14	
1354377915	936.96	708.86	1357	1600	16000	1.719	3.486	15	17	
1354377967	874.09	1113.13	1357	1600	16000	1.796	4.349	15	16	
