Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351886024821	1.7396	3.0913	0.3	500	50
1351886025392	1.7191	2.8215	0.3	500	50
1351886025884	2.0087	2.8253	0.3	500	50
1351886026428	2.1245	2.5345	0.3	500	50
1351886027004	2.1419	2.3621	0.3	500	50
1351886027531	2.0502	2.8317	0.3	500	50
1351886028042	1.8852	2.8279	0.3	500	50
1351886028550	1.8631	2.8321	0.3	500	50
1351886029052	2.1150	2.8196	0.3	500	50
1351886029546	1.9284	2.8664	0.3	500	50
1351886030074	2.1596	2.7937	0.3	500	50
1351886030591	1.9689	2.8680	0.3	500	50
1351886031156	1.5266	2.8285	0.3	500	50
1351886031685	2.1928	2.8287	0.3	500	50
1351886032209	1.9868	2.8290	0.3	500	50
1351886032730	2.0087	2.8256	0.3	500	50
1351886033275	1.9827	2.3730	0.3	500	50
1351886033764	1.9851	2.8257	0.3	500	50
1351886034268	2.0099	3.5284	0.3	500	50
1351886034782	1.9779	2.8144	0.3	500	50
1351886035303	2.1425	2.8315	0.3	500	50
1351886035803	1.9984	2.8380	0.3	500	50
1351886036343	1.8284	3.0840	0.3	500	50
1351886036843	1.9526	2.8309	0.3	500	50
1351886037355	1.9166	3.0907	0.3	500	50
1351886037870	1.8648	3.0868	0.3	500	50
1351886038370	2.0032	3.0864	0.3	500	50
1351886038917	1.9959	2.2037	0.3	500	50
1351886039452	2.0450	3.0875	0.3	500	50
1351886039972	2.2453	2.8260	0.3	500	50
1351886040542	1.8360	2.8292	0.3	500	50
1351886041174	1.7277	2.2060	0.3	500	50
1351886041709	2.0032	3.1867	0.3	500	50
1351886042231	1.9953	2.8228	0.3	500	50
1351886042951	1.9087	1.8074	0.3	500	50
1351886043551	2.1461	2.4796	0.3	500	50
1351886044121	2.1603	2.5729	0.3	500	50
1351886044741	1.9160	2.3030	0.3	500	50
1351886045353	1.7541	3.1876	0.3	500	50
1351886045863	2.0160	2.9093	0.3	500	50
1351886046447	2.0540	2.8233	0.3	500	50
1351886047081	2.0689	2.6074	0.3	500	50
1351886047728	2.0807	2.2291	0.3	500	50
1351886048401	1.9410	2.0258	0.3	500	50
1351886048931	2.1055	3.1926	0.3	500	50
1351886049467	2.0508	2.8262	0.3	500	50
1351886050046	1.9262	2.3592	0.3	500	50
1351886050659	1.6688	2.6723	0.3	500	50
1351886051280	1.9093	2.3083	0.3	500	50
1351886051883	1.7494	2.1337	0.3	500	50
1351886052390	1.7241	3.5304	0.3	500	50
1351886053040	1.9832	2.6012	0.3	500	50
