Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351880128370	1.9698	4.0805	200000	600	50
1351880128950	1.8503	4.3063	200000	600	50
1351880129556	2.0090	3.5059	200000	600	50
1351880130094	1.8745	3.7705	200000	600	50
1351880130655	1.8794	3.7583	200000	600	50
1351880131271	1.7510	3.7674	200000	600	50
1351880131828	1.8254	3.9535	200000	600	50
1351880132389	1.8287	3.7748	200000	600	50
1351880132952	1.6214	4.0883	200000	600	50
1351880133597	1.7103	4.0896	200000	600	50
1351880134179	1.5345	4.0911	200000	600	50
1351880134798	1.6890	3.7658	200000	600	50
1351880135460	1.9174	4.0841	200000	600	50
1351880136036	1.7631	3.8979	200000	600	50
1351880136583	1.8364	3.8865	200000	600	50
1351880137164	1.3974	3.7599	200000	600	50
1351880137767	1.7211	3.3484	200000	600	50
1351880138358	1.7103	3.8973	200000	600	50
1351880138986	1.6332	3.7647	200000	600	50
1351880139599	1.6608	3.0289	200000	600	50
1351880140142	1.8821	3.8902	200000	600	50
1351880140756	1.8065	3.7691	200000	600	50
1351880141304	1.7604	3.7628	200000	600	50
1351880141935	2.7691	4.0927	200000	600	50
1351880142487	1.4920	4.7356	200000	600	50
1351880143078	1.5958	3.7730	200000	600	50
1351880143629	1.8334	3.7663	200000	600	50
1351880144210	1.6657	3.3488	200000	600	50
1351880144751	1.7779	3.3474	200000	600	50
1351880145306	2.0058	3.7705	200000	600	50
1351880145837	1.9170	4.3072	200000	600	50
1351880146420	1.7739	3.7676	200000	600	50
1351880146955	1.6000	3.8950	200000	600	50
1351880147532	1.8207	4.3169	200000	600	50
1351880148166	1.7604	3.7705	200000	600	50
1351880148809	1.9017	3.3492	200000	600	50
1351880149438	1.6476	3.3970	200000	600	50
1351880150231	1.6435	3.4908	200000	600	50
1351880150805	1.8459	3.7668	200000	600	50
1351880151533	0.9739	3.7736	200000	600	50
1351880152128	1.5974	3.5003	200000	600	50
1351880152721	1.6235	3.4922	200000	600	50
1351880153316	1.7498	3.4983	200000	600	50
1351880153925	1.8148	3.6529	200000	600	50
1351880154534	1.9188	3.7675	200000	600	50
1351880155110	1.8732	3.7762	200000	600	50
1351880155654	2.6015	4.2764	200000	600	50
1351880156294	1.9561	3.4817	200000	600	50
1351880156806	2.6979	3.4983	200000	600	50
1351880157409	1.7747	3.4389	200000	600	50
1351880157975	1.6952	4.3142	200000	600	50
1351880158583	1.8228	3.4933	200000	600	50
1351880159199	1.8498	3.3444	200000	600	50
1351880159856	1.7432	3.7940	200000	600	50
1351880160409	1.8817	3.3563	200000	600	50
1351880160994	1.6667	3.4360	200000	600	50
1351880161685	1.5453	3.7776	200000	600	50
1351880162288	1.7298	3.8934	200000	600	50
1351880162855	1.7219	3.8336	200000	600	50
1351880163458	1.9278	3.9554	200000	600	50
1351880163969	1.9727	4.0807	200000	600	50
1351880164634	1.1914	4.0934	200000	600	50
1351880165227	1.8472	3.9023	200000	600	50
1351880165816	1.7592	3.4970	200000	600	50
1351880166354	1.7913	3.8873	200000	600	50
