Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351880999881	1.4669	1.8705	200000	500	25
1351881000339	1.3448	1.8038	200000	500	25
1351881000811	1.4373	1.8062	200000	500	25
1351881001327	1.4168	1.8915	200000	500	25
1351881001770	1.2252	1.8027	200000	500	25
1351881002245	1.3787	1.7100	200000	500	25
1351881002762	1.2294	1.9883	200000	500	25
1351881003239	1.2802	1.8019	200000	500	25
1351881003651	1.4642	1.8015	200000	500	25
1351881004121	1.4702	1.8047	200000	500	25
1351881004583	1.4532	1.7419	200000	500	25
1351881005103	1.4629	1.7106	200000	500	25
1351881005569	1.2693	1.6523	200000	500	25
1351881006025	1.4144	1.8059	200000	500	25
1351881006621	0.7716	1.8697	200000	500	25
1351881007158	1.1931	1.8041	200000	500	25
1351881007601	1.2006	1.8385	200000	500	25
1351881008095	1.2094	1.9850	200000	500	25
1351881008577	1.3311	1.9119	200000	500	25
1351881009117	0.9924	1.8028	200000	500	25
1351881009557	1.1777	1.5277	200000	500	25
1351881010003	1.4629	1.6837	200000	500	25
1351881010551	1.2089	1.9841	200000	500	25
1351881011089	1.0970	1.8760	200000	500	25
1351881011512	1.3431	1.8764	200000	500	25
1351881012008	1.4101	1.7120	200000	500	25
1351881012521	1.3839	1.6569	200000	500	25
1351881013020	1.3178	1.5794	200000	500	25
1351881013464	1.4211	1.8385	200000	500	25
1351881014247	0.6417	1.9109	200000	500	25
1351881014759	1.2243	1.9051	200000	500	25
1351881015234	1.4292	1.8706	200000	500	25
1351881015656	1.4023	1.8071	200000	500	25
1351881016192	1.0987	1.8012	200000	500	25
1351881016707	1.1256	1.8067	200000	500	25
1351881017212	1.4754	1.8041	200000	500	25
1351881017632	1.4814	1.8024	200000	500	25
1351881018070	1.4150	1.8031	200000	500	25
1351881018571	1.3644	1.9086	200000	500	25
1351881019086	1.2152	1.9050	200000	500	25
1351881019540	1.1448	1.8024	200000	500	25
1351881020016	1.3441	2.1131	200000	500	25
1351881020523	1.2995	1.7125	200000	500	25
1351881020993	1.4558	1.9796	200000	500	25
1351881021469	1.3047	1.8024	200000	500	25
1351881021938	1.3570	1.9843	200000	500	25
1351881022415	1.2357	1.9081	200000	500	25
1351881022916	1.3403	1.6552	200000	500	25
1351881023388	1.3333	1.8070	200000	500	25
1351881023884	1.3220	1.6564	200000	500	25
1351881024462	1.0846	1.6575	200000	500	25
1351881024956	1.3162	1.9078	200000	500	25
