Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	UploadData(MB)	DownloadData(MB)
1353124511034	1693.54	7470.04	1357	1600	3.930	20.253
1353124550944	5105.20	8382.40	1357	1600	11.405	23.082
1353124590985	6375.06	8644.16	1357	1600	12.548	21.924
1353124632044	5661.40	7757.98	1357	1600	11.636	21.431
1353124672265	6425.75	7881.77	1357	1600	12.294	22.162
1353124712779	5970.26	8403.20	1357	1600	11.812	22.837
1353124752547	7309.79	7557.06	1357	1600	13.101	21.999
1353124801651	568.60	4105.92	1357	1600	1.336	15.713
1353124841346	3000.18	6285.44	1357	1600	6.266	14.225
1353124884810	2045.65	8236.80	1357	1600	4.634	23.546
1353124926060	3004.11	6015.79	1357	1600	5.918	15.458
1353124968326	2983.78	6312.80	1357	1600	5.893	18.351
1353125008592	3014.95	7238.40	1357	1600	6.380	18.993
1353125050520	3105.58	8789.64	1357	1600	6.644	23.819
1353125091940	2570.28	10062.22	1357	1600	4.905	26.335
1353125132937	2746.44	6420.78	1357	1600	5.671	15.926
1353125177055	1561.70	7529.60	1357	1600	3.670	21.756
1353125222750	2500.24	5736.61	1357	1600	5.424	17.694
1353125265774	2501.52	6386.23	1357	1600	5.831	17.726
1353125307451	2238.24	5756.44	1357	1600	4.619	16.090
1353125348793	2004.74	8025.52	1357	1600	4.335	19.988
1353125389877	3061.39	6411.56	1357	1600	5.856	18.277
1353125431404	3647.53	7272.73	1357	1600	7.595	20.322
1353125474570	4050.75	6732.63	1357	1600	8.276	21.530
1353125522757	1570.98	5080.76	1357	1600	3.684	16.638
1353125564948	3557.21	5262.40	1357	1600	7.031	16.328
1353125606978	3506.49	7633.60	1357	1600	7.331	21.438
1353125649236	1977.73	9163.60	1357	1600	4.285	23.707
1353125696288	730.18	7257.26	1357	1600	1.800	22.440
1353125741260	2145.33	6504.56	1357	1600	5.338	21.599
1353125784289	2177.67	7833.65	1357	1600	5.042	22.544
1353125825573	1519.84	8611.20	1357	1600	3.519	23.501
1353125866353	3658.47	9505.60	1357	1600	7.729	24.649
1353125907954	3078.64	9615.21	1357	1600	6.605	26.286
1353125948812	4149.55	9279.04	1357	3200	8.440	24.610
1353125989993	5495.79	6674.78	1357	3200	10.630	19.653
1353126029969	5368.42	7981.69	1357	3200	10.432	22.046
1353126071053	2967.59	7945.60	1357	3200	6.336	21.456
1353126112176	2449.61	8151.75	1357	3200	5.235	22.504
1353126151935	3897.30	9339.20	1357	3200	7.978	23.380
1353126192273	4264.47	7865.58	1357	3200	8.351	18.924
1353126233490	3387.07	9059.74	1357	3200	6.926	22.222
1353126274942	3799.60	8438.32	1357	3200	7.610	22.162
1353126315302	3604.19	8685.71	1357	3200	7.428	23.360
1353126355616	3709.04	8664.94	1357	3200	7.687	23.640
1353126398323	3358.64	4702.79	1357	3200	7.281	17.340
1353126438026	3499.49	9122.08	1357	3200	6.872	21.051
1353126479977	1798.60	9760.08	1357	3200	4.242	26.216
1353126520885	2277.48	9984.44	1357	3200	6.269	25.817
1353126562991	1595.83	6898.70	1357	3200	3.881	18.051
1353126605116	3802.85	8896.76	1357	3200	8.911	24.458
1353126645404	4175.38	10552.79	1357	3200	8.312	26.873
1353126686500	6730.72	7529.60	1357	3200	11.359	21.656
1353126727714	3734.46	7878.86	1357	3200	7.707	21.875
1353126771499	3625.90	6815.44	1357	3200	7.876	21.118
1353126811284	3492.14	9633.47	1357	3200	7.066	24.828
1353126851192	4164.54	7654.40	1357	3200	7.934	20.622
1353126890516	5994.12	7675.20	1357	3200	11.496	20.744
1353126930220	6756.53	9308.00	1357	3200	12.135	24.855
1353126969729	6669.77	7002.39	1357	3200	13.133	17.835
1353127009739	6510.72	7779.37	1357	3200	13.120	22.879
1353127052836	2461.85	6538.92	1357	3200	6.165	19.422
1353127094598	2470.23	7731.34	1357	3200	5.224	22.170
1353127136663	1985.06	8143.40	1357	3200	4.550	21.800
1353127177430	2427.40	9080.52	1357	3200	5.305	20.816
1353127219602	3777.41	6212.99	1357	3200	7.858	18.413
1353127260256	3578.90	8897.94	1357	3200	7.497	23.422
1353127301517	4132.00	8805.90	1357	3200	8.368	23.811
1353127342594	3173.49	8739.32	1357	3200	7.177	21.790
1353127384602	2816.73	8905.42	1357	3200	6.097	24.027
1353127425115	2887.70	9092.22	1357	3200	5.729	23.598
1353127466459	3107.12	9766.23	1357	3200	6.877	24.962
1353127508677	3377.66	8257.60	1357	3200	6.940	23.943
1353127549496	3043.61	9122.08	1357	3200	6.651	23.623
1353127599880	491.62	4222.25	1357	3200	1.990	14.996
1353127646897	1161.80	5251.90	1357	3200	2.706	16.023
1353127694838	1186.36	4222.24	1357	3200	3.017	12.356
1353127740404	1302.72	3873.38	1357	3200	2.762	10.970
1353127788925	551.45	4296.33	1357	3200	1.443	15.458
1353127832694	1378.71	4478.66	1357	3200	2.797	13.342
1353127880668	1054.20	4608.38	1357	3200	2.474	13.382
1353127927068	761.36	4478.64	1357	3200	1.989	13.037
1353127975650	795.93	4087.31	1357	3200	1.983	12.638
1353128025742	666.41	4419.34	1357	3200	1.741	12.978
