Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354135666542	225.72	6556.80	1357	1600	16000	0.651	17.583	13	17	-107	12	4
1354135714111	186.92	6648.04	1357	1600	16000	0.585	18.579	13	17	-107	12	28
1354135761993	183.09	5994.14	1357	1600	16000	0.450	17.434	13	18	-107	14	24
1354135810608	129.38	5557.05	1357	1600	16000	0.391	17.191	13	18	-107	14	24
1354135853815	198.90	6575.98	1357	1600	16000	0.582	13.320	13	17	-107	12	28
1354135900027	216.69	6647.69	1357	1600	16000	0.538	18.197	13	17	-107	11	30
1354135953473	174.46	5772.00	1357	1600	16000	0.511	14.600	13	17	-107	11	28
1354136000443	115.23	3679.00	1357	1600	16000	0.349	12.185	13	18	-107	13	28
1354136048078	165.58	5073.33	1357	1600	16000	0.439	14.580	13	18	-107	13	28
1354136097193	133.14	5221.08	1357	1600	16000	0.387	15.438	13	17	-107	12	28
1354136150626	123.22	5758.34	1357	1600	16000	0.550	17.330	13	17	-107	12	28
1354136202889	120.63	5403.10	1357	1600	16000	0.339	6.903	13	18	-107	13	30
1354136255657	0.00	5400.52	1357	1600	16000	0.542	15.777	13	18	-107	13	28
1354136304558	226.84	3637.73	1357	1600	16000	0.493	12.180	13	18	-107	13	28
1354136351470	219.52	4003.66	1357	1600	16000	0.582	11.887	13	18	-107	13	28
1354136399151	120.31	5125.39	1357	1600	16000	0.344	15.150	13	17	-107	11	28
1354136442481	237.41	6294.40	1357	1600	16000	0.571	15.391	13	17	-107	11	28
1354136495192	245.29	6482.95	1357	1600	16000	0.717	16.891	13	18	-107	14	22
1354136542847	161.76	5414.23	1357	1600	16000	0.453	14.981	13	18	-107	14	22
1354136593846	159.65	5692.63	1357	1600	16000	0.505	15.148	13	18	-107	13	0
1354136648383	0.00	6025.95	1357	1600	16000	0.509	14.706	13	18	-107	13	0
1354136697040	176.94	5102.62	1357	1600	16000	0.443	15.031	13	18	-107	13	0
1354136741745	132.72	6507.30	1357	1600	16000	0.343	17.949	13	17	-107	12	28
1354136787705	130.50	6318.00	1357	1600	16000	0.343	16.204	13	18	-107	14	28
1354136841289	117.77	4056.00	1357	1600	16000	0.339	13.509	13	18	-107	14	28
1354136894228	167.10	4394.73	1357	1600	16000	0.520	14.223	13	17	-107	11	28
1354136921760	0.00	6981.00	1357	1600	16000	0.000	4.895	13	17	-107	12	28
1354136941841	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	11	32
1354136961891	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	11	32
